name,class_name,num_vertices,num_faces,num_triangles,num_quads,bb_dim_x,bb_dim_y,bb_dim_z,bb_diagonal,barycenter
AquaticAnimal/m53.obj,AquaticAnimal,18409,34877,34877,0,0.138371,0.32376099999999997,0.95,1.0131474318982405,[0.101 0.169 0.664]
AquaticAnimal/m54.obj,AquaticAnimal,18143,33836,33836,0,0.229899,0.346143,0.95,1.0369033352487589,[0.146 0.173 0.645]
AquaticAnimal/m55.obj,AquaticAnimal,19505,37072,37072,0,0.15651,0.35514599999999996,0.95,1.0262183302864942,[0.093 0.177 0.684]
AquaticAnimal/m56.obj,AquaticAnimal,5814,10893,10893,0,0.143956,0.342452,0.95,1.0200474019573795,[0.097 0.171 0.713]
AquaticAnimal/m57.obj,AquaticAnimal,18878,36278,36278,0,0.11896300000000001,0.36444299999999996,0.95,1.0244368675609052,[0.085 0.189 0.669]
AquaticAnimal/m58.obj,AquaticAnimal,477,950,950,0,0.512049,0.47521099999999994,0.95,1.1792029820696688,[0.276 0.232 0.492]
AquaticAnimal/m59.obj,AquaticAnimal,44,1680,1680,0,0.2,0.2,0.95,0.9912113800799505,[0.125 0.125 0.512]
AquaticAnimal/m60.obj,AquaticAnimal,1606,3208,3208,0,0.32367399999999996,0.382675,0.95,1.074106611980859,[0.187 0.199 0.649]
AquaticAnimal/m61.obj,AquaticAnimal,216,337,337,0,0.16243000000000002,0.418396,0.95,1.050684880311885,[0.109 0.209 0.6  ]
AquaticAnimal/m62.obj,AquaticAnimal,241,478,478,0,0.10627600000000001,0.724178,0.95,1.1992615910884497,[0.078 0.384 0.553]
